"CLDR Short Name";"Code";"Browser"
"woman astronaut: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F680";"👩🏿
🚀"
"man firefighter";"U+1F468 U+200D U+1F692";"👨
🚒"
"man firefighter: light skin tone";"U+1F468 U+1F3FB U+200D U+1F692";"👨🏻
🚒"
"man firefighter: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F692";"👨🏼
🚒"
"man firefighter: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F692";"👨🏽
🚒"
"man firefighter: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F692";"👨🏾
🚒"
"man firefighter: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F692";"👨🏿
🚒"
"woman firefighter";"U+1F469 U+200D U+1F692";"👩
🚒"
"woman firefighter: light skin tone";"U+1F469 U+1F3FB U+200D U+1F692";"👩🏻
🚒"
"woman firefighter: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F692";"👩🏼
🚒"
"woman firefighter: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F692";"👩🏽
🚒"
"woman firefighter: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F692";"👩🏾
🚒"
"woman firefighter: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F692";"👩🏿
🚒"
"police officer";"U+1F46E";"👮"
"police officer: light skin tone";"U+1F46E U+1F3FB";"👮🏻"
"police officer: medium-light skin tone";"U+1F46E U+1F3FC";"👮🏼"
"police officer: medium skin tone";"U+1F46E U+1F3FD";"👮🏽"
"police officer: medium-dark skin tone";"U+1F46E U+1F3FE";"👮🏾"
